cites,cited_by
649def34f8be52c8b66281af98ae884c09aef38b,b74aec118f2b62ae05b04f1b66ab79c2e5b873c0
649def34f8be52c8b66281af98ae884c09aef38b,cc7fbba314bcf99cdcff74e6a12bf5a777350a54
649def34f8be52c8b66281af98ae884c09aef38b,cfcfe9fd697e98ad2508b4bf95dad16390f66938
649def34f8be52c8b66281af98ae884c09aef38b,958bb3831589246fe5b6b58cf99e3b65c58d027f
649def34f8be52c8b66281af98ae884c09aef38b,cc71b982828fd38f581c0257502d9b36744f0005
649def34f8be52c8b66281af98ae884c09aef38b,054dd061a42086ab2758141655bebd7559b144fa
649def34f8be52c8b66281af98ae884c09aef38b,768403710ec37fe612257384b19bf8f1c7bcce72
649def34f8be52c8b66281af98ae884c09aef38b,b6fba18ca329347c330262edb71f56bde08c29e1
649def34f8be52c8b66281af98ae884c09aef38b,94e99c02b61f2d8b727f08e08924146705a614df
649def34f8be52c8b66281af98ae884c09aef38b,14644be339b0805aa8098a97f61fe2398cc770a9
649def34f8be52c8b66281af98ae884c09aef38b,3605d3aacfa071d9c97b06d834f021baa61625f4
649def34f8be52c8b66281af98ae884c09aef38b,7e0fda71cc2e561385c0a2e29f5a81654a11157f
649def34f8be52c8b66281af98ae884c09aef38b,fdf8a75d2420a8f6bd05091a7f6bc52f6641cc80
649def34f8be52c8b66281af98ae884c09aef38b,4a236906f5bed6385c7b3bf3f10a0099e41d4566
649def34f8be52c8b66281af98ae884c09aef38b,f5b484e7e490c9e727575086877cecdb121f55dc
649def34f8be52c8b66281af98ae884c09aef38b,42b2fd8a0ab69281022de528c591c665f5f2ad3b
649def34f8be52c8b66281af98ae884c09aef38b,e92b2ada3a8112426946f3acd8991dbc74d4b311
649def34f8be52c8b66281af98ae884c09aef38b,428194865ce5732c3c53f548b3d56485e8c7f4eb
649def34f8be52c8b66281af98ae884c09aef38b,00f4e66a3eb2fa02063d83da1e5afe19242a282e
649def34f8be52c8b66281af98ae884c09aef38b,1b2139b38e6a9ded0c161a6bbed39a5cf09c03f0
649def34f8be52c8b66281af98ae884c09aef38b,dfbe1fcd18742d71d2807506120aab24485491c8
649def34f8be52c8b66281af98ae884c09aef38b,c05a9797e5ead09d0885efa9f1b464d319f80709
649def34f8be52c8b66281af98ae884c09aef38b,33b7a611db06806a9e1d22ce5bb8bbeb2604b5f3
649def34f8be52c8b66281af98ae884c09aef38b,c1e0f6d36328cbdd03b7a8f111a518b8e3525e0f
649def34f8be52c8b66281af98ae884c09aef38b,2a49efd0657c7ace5a4e22ce9c484c94aab8a4b7
649def34f8be52c8b66281af98ae884c09aef38b,a60f8498e85f01ec72120c153aa92387f8841a31
649def34f8be52c8b66281af98ae884c09aef38b,f339ab25cc1e784baa76896623dde732171b5634
649def34f8be52c8b66281af98ae884c09aef38b,8908ca00814b4d7201eec0ca4002f820c8b21ca8
649def34f8be52c8b66281af98ae884c09aef38b,4f451ba06c4c9effd6c4ac0bae222495501a6200
649def34f8be52c8b66281af98ae884c09aef38b,22568312b44961be20c453bfcbef53a78d7020be
649def34f8be52c8b66281af98ae884c09aef38b,782876a0eb86ea73808bb9e1423a34fa4dca28ef
649def34f8be52c8b66281af98ae884c09aef38b,6c7abf617c0591be96a09776092271c72f49ff2f
649def34f8be52c8b66281af98ae884c09aef38b,4a497123488f5790548406bd10384ae7b89c4315
649def34f8be52c8b66281af98ae884c09aef38b,b222b76c91ce699852a1cdf16670de1bf10afdb3
649def34f8be52c8b66281af98ae884c09aef38b,6ffc29d76c8c31988b5563ac08942bcf28de7bf3
649def34f8be52c8b66281af98ae884c09aef38b,a4d581724fb604d13719b73f87a0457f007a43a4
649def34f8be52c8b66281af98ae884c09aef38b,786077a54eee75d0fd74b8565f91b9386a6344cd
649def34f8be52c8b66281af98ae884c09aef38b,3347bb7b0b95f1ebec61997983ce94d6896e8ea2
649def34f8be52c8b66281af98ae884c09aef38b,192041215f6a1573fbbbbe323ee4275157fb6a3d
649def34f8be52c8b66281af98ae884c09aef38b,4c98e8bc72727872642c7e88b11d705415f1de3b
649def34f8be52c8b66281af98ae884c09aef38b,686d9ee744fa013cc21cdd86acd864c936e9e456
649def34f8be52c8b66281af98ae884c09aef38b,844e2bc8c85ae33c69e8307ea0c0fba4f15be07b
649def34f8be52c8b66281af98ae884c09aef38b,f3aea1550dd58193eb14c1e1d485b90f4c8d130c
649def34f8be52c8b66281af98ae884c09aef38b,903b3afd316837ffdf46f0cea7ee242d897d7956
649def34f8be52c8b66281af98ae884c09aef38b,88b8569f4c5ea548e8eac6cb68896251e85ca879
649def34f8be52c8b66281af98ae884c09aef38b,500313032a05d9971293fd9d7be814c68fe3e643
649def34f8be52c8b66281af98ae884c09aef38b,555a689b3771102c94fe0a9f40130bce443ca5d8
649def34f8be52c8b66281af98ae884c09aef38b,eabccc3e2c6c17daea60e089ff6b42819a3d186c
649def34f8be52c8b66281af98ae884c09aef38b,8a8de960ed1a240441d09ee8d4f0a03719279636
649def34f8be52c8b66281af98ae884c09aef38b,7ecb5b8c5456a4a6b1129527b1d96d2997d3ee5b
649def34f8be52c8b66281af98ae884c09aef38b,4050bb6746789eb8900cac992bd994550d5e0ec2
649def34f8be52c8b66281af98ae884c09aef38b,6d8b9829512f66a1fb92326dc4f6e2b314363625
