written_by,writes
1762106,4a4f4277936b35ef033ab64c57f7cc848ca90aae
2257363292,4a4f4277936b35ef033ab64c57f7cc848ca90aae
2337270009,0c94efd5648b69f369d278afc2b3419139238c50
2291624949,0c94efd5648b69f369d278afc2b3419139238c50
2313316663,0c94efd5648b69f369d278afc2b3419139238c50
2135780243,c059ad6a98ef5292b93829e33ab6db382edca073
150938982,c059ad6a98ef5292b93829e33ab6db382edca073
2208679,c059ad6a98ef5292b93829e33ab6db382edca073
2335566763,9f3ae8055e227edb413c54417c9c216f1f554f52
2335569348,9f3ae8055e227edb413c54417c9c216f1f554f52
2215388241,2cbc3988bab4c17f9eb9040e1dca9c5db2e26dad
152354730,2cbc3988bab4c17f9eb9040e1dca9c5db2e26dad
2237850759,2cbc3988bab4c17f9eb9040e1dca9c5db2e26dad
2193266278,db4e8d662dbe80f3ddf78e69b1c1053500894d25
2331845884,db4e8d662dbe80f3ddf78e69b1c1053500894d25
2164374024,db4e8d662dbe80f3ddf78e69b1c1053500894d25
35668704,50a3f0dd12114fb2ca90a5511a6325524c3f6013
2214609905,50a3f0dd12114fb2ca90a5511a6325524c3f6013
2180883959,50a3f0dd12114fb2ca90a5511a6325524c3f6013
2315466736,50a3f0dd12114fb2ca90a5511a6325524c3f6013
2321307305,50a3f0dd12114fb2ca90a5511a6325524c3f6013
2249526854,50a3f0dd12114fb2ca90a5511a6325524c3f6013
1702629,50a3f0dd12114fb2ca90a5511a6325524c3f6013
1747690,50a3f0dd12114fb2ca90a5511a6325524c3f6013
2301577462,5eafc35cedbb28b033009947ca73b40007b2b407
2300275413,5eafc35cedbb28b033009947ca73b40007b2b407
2320307700,5eafc35cedbb28b033009947ca73b40007b2b407
2320318070,5eafc35cedbb28b033009947ca73b40007b2b407
2261495159,5eafc35cedbb28b033009947ca73b40007b2b407
2284397773,4772df95a893061e0fedc9a09c56f95d8926fb9d
48781295,4772df95a893061e0fedc9a09c56f95d8926fb9d
2284602161,4772df95a893061e0fedc9a09c56f95d8926fb9d
2317093462,4772df95a893061e0fedc9a09c56f95d8926fb9d
