authorId,name
2257302522,S. Hegselmann
30155522,Hunter Lang
38367242,Yoon Kim
1746662,D. Sontag
1789682566,J. D’Souza
46351484,Christin Katharina Kreutz
2165313022,Martin Blum
1727566,R. Schenkel
27083453,Raymond Fok
2154109031,Hita Kambhamettu
3328733,Luca Soldaini
2699105,Jonathan Bragg
46258841,Kyle Lo
2065039588,Andrew Head
1716902,Marti A. Hearst
1780531,Daniel S. Weld
34564102,Jason Priem
1872896,Heather A. Piwowar
2105770546,Richard Orr
47842495,Meijun Liu
2153012848,Ning Zhang
2109787386,Xiao Hu
2141351739,A. Jaiswal
49394985,Jian Xu
2118062062,Hong Chen
2116500622,Ying Ding
145239893,Yi Bu
10135862,Angelo Ziletti
2403712,A. Akbik
52445716,Christoph Berns
48352807,T. Herold
2168278626,Marion Legler
2168271050,Martina Viell
2142561945,Dan Berrebbi
2163719933,Nicolas Huynh
1691921446,Oana Balalau
46194528,Antoine Gourru
1755585,Julien Velcin
1701478,C. Gravier
33851054,J. Jacques
2163523471,Bastian Schafermeier
1705932,Gerd Stumme
3439180,Tom Hanika
1732051,N. Kokash
2688473,Matteo Romanello
1405724362,Ernest Suyver
2364686,Giovanni Colavizza
40408676,Shaurya Rohatgi
145612610,Doug Downey
145104486,Daniel King
46411828,Sergey Feldman
49753393,Dustin Wright
1953113,Anna Lisa Gentile
2552926,N. Faux
1380315035,Kristen L. Beck
2114128654,Hongyi Yuan
2112340945,Zheng Yuan
94166197,Ruyi Gan
2144129760,Jiaxing Zhang
1390846751,Yutao Xie
2107922859,Sheng Yu
2161050804,Manuel A. Vázquez
2161048458,Jorge Pereira-Delgado
1397209264,Jesús Cid-Sueiro
1385756446,J. Arenas-García
22178917,Zoran Medic
143809437,J. Šnajder
,Sai Dileep Koneru
2156586293,David Rench McCauley
2116647683,Michael C Smith
144713951,David Guarrera
2156673339,Jenn Robinson
2297249881,Sarah M. Rajtmajer
1395799507,Micheal Abaho
2075356592,D. Bollegala
114425383,P. Williamson
2186263,S. Dodd
89919188,Xiangci Li
2112778,Jessica Ouyang
40661440,Adam John Hunter Newton
3181480,David Chartash
3275359,S. Kleinstein
3210910,R. McDougal
46365617,Jian Wu
40408676,Shaurya Rohatgi
1962383693,Sai Raghav Reddy Keesara
1962384887,Jason Chhay
2034346774,K. Kuo
2080136131,A. Menon
2053031930,Sean Parsons
1684443,B. Urgaonkar
145157784,C. Lee Giles
34647353,Simon Suster
145465286,Timothy Baldwin
1800564,Jey Han Lau
2269460053,Antonio Jimeno Yepes
2203921381,David Martinez Iraola
1881453937,Yulia Otmakhova
144765178,Karin M. Verspoor
38657905,Graham Mcdonald
145434248,Craig Macdonald
1698205,I. Ounis
145485725,Benjamin Charles Germain Lee
2058004436,Trevor Owens
1392208839,Tobias Koopmann
1493276636,Konstantin Kobs
2353078208,Konstantin Herud
1792623,A. Hotho
2143376015,Yining Wang
2277791821,Mingzhe Chen
145412074,W. Saad
2150719349,Tao Luo
2106614719,Shuguang Cui
2113229282,H. Poor
31187184,M. Y. Jaradeh
145447998,Kuldeep Singh
153237136,M. Stocker
145044578,S. Auer
144334436,M. Moradi
3004898,M. Samwald
19736052,Kelvin Luu
1783281,Daniel Khashabi
40895369,Suchin Gururangan
1396416724,Karishma Mandyam
144365875,Noah A. Smith
8838625,H. Lathabai
2077515839,Abhirup Nandy
2225939625,V. Singh
104447782,T. Saier
151112226,Michael Färber
2139739556,Tornike Tsereteli
2066260422,Simone Angioni
40520756,Angelo Salatino
2052329,Francesco Osborne
2258801926,D. Reforgiato
2105232169,Recupero
1721851,E. Motta
1799502,P. Manghi
2043406,Andrea Mannocci
2052329,Francesco Osborne
1760642,Dimitris Sacharidis
40520756,Angelo Salatino
1768540,Thanasis Vergoulis
2152153638,Ming Jiang
1789682566,J. D’Souza
145044578,S. Auer
2000610758,J. Downie
2139762191,Aishwarya Krishna Allada
2146018190,Yuanxin Wang
34643837,Veni Jindal
2139762185,Morteza Babee
9315255,H. Tizhoosh
32755716,Mark Crowley
151138711,Maximilian Stubbemann
1705932,Gerd Stumme
2056817983,P. Su
1400820110,K. Vijay-Shanker
31860505,Lucy Lu Wang
51199773,Isabel Cachola
2699105,Jonathan Bragg
2087062598,Evie (Yu-Yen) Cheng
31809387,Chelsea Hess Haupt
2087047386,Matt Latzke
2003338023,Bailey Kuehl
15292561,Madeleine van Zuylen
82676859,Linda M. Wagner
1780531,Daniel S. Weld
25098419,Zaid Alyafeai
153528116,Maraim Masoud
2721586,Mustafa Ghaleb
2065657002,Maged Saeed Al-shaibani
6894443,Damián E. Blasi
49513989,Antonios Anastasopoulos
1700325,Graham Neubig
65782109,E. Tattershall
2144507,G. Nenadic
2054435684,R. Stevens
2067241099,Tanishq Gupta
2057472131,Mohd Zaki
46382871,N. Krishnan
2674444,Mausam
143853729,G. Moro
2132084411,Lorenzo Valgimigli
84288038,Bastian Schäfermeier
1705932,Gerd Stumme
3439180,Tom Hanika
90061586,Jehad Aldahdooh
1397981788,M. Vähä-Koskela
50877206,Jing Tang
51409579,Ziaurrehman Tanoli
151138711,Maximilian Stubbemann
1705932,Gerd Stumme
73596405,Jennifer D'Souza
2071756650,Soeren Auer
2149502664,Fan Chen
2038837,S. Roch
2141647,Karl Rohe
50443188,Shuqi Yu
144606424,Klaus Kammerer
102060701,Manuel Göster
145870311,M. Reichert
2052739,R. Pryss
2128264848,Pollawat Hongwimol
2128281427,Peeranuth Kehasukcharoen
2128282529,Pasit Laohawarutchai
9433771,Piyawat Lertvittayakumjorn
1557327062,Aik Beng Ng
2072863482,Zhangsheng Lai
2109992450,Timothy Liu
1715851,P. Vateekul
2140879677,Yongli Hu
2115950770,Pu-Chin Chen
2145028549,Tengfei Liu
32278515,Junbin Gao
5305357,Yanfeng Sun
1714354,Baocai Yin
1491236934,Qiwei Zhong
2049015646,Guanxiong Zeng
2116275989,Danqing Zhu
2145953857,Yang Zhang
71666770,Wangli Lin
2023820630,Ben Chen
1998958776,Jiayu Tang
8318698,Abeba Birhane
13014201,Pratyusha Kalluri
35540755,Dallas Card
2301202406,William Agnew
1441101651,Ravit Dotan
2115910347,Michelle Bao
1915195,Naman Jain
1400331254,M. Singh
1620824465,Sophia Althammer
143682826,Mark Buckley
97393346,Sebastian Hofstätter
1699657,A. Hanbury
2364686,Giovanni Colavizza
9377739,Ishani Mondal
150348519,Yufang Hou
2078553,Charles Jochim
101568984,Shannon Zejiang Shen
46258841,Kyle Lo
31860505,Lucy Lu Wang
2003338023,Bailey Kuehl
1780531,Daniel S. Weld
145612610,Doug Downey
46181066,Iz Beltagy
2527954,Arman Cohan
2548384,Hannaneh Hajishirzi
48872685,Sewon Min
39139825,Matthew E. Peters
144859797,M. Nayyeri
2084102080,Gökce Müge Çil
1863763,S. Vahdati
2052329,Francesco Osborne
2122904903,Mahfuzur Rahman
2066260422,Simone Angioni
40520756,Angelo Salatino
3349721,D. Recupero
2007905964,Nadezhda Vassilyeva
